path,source,hour,minute,label,split
real_data/train/a1947eb64428_11_10.jpg,kongaskristjan,11,10,11-10,test
real_data/train/a5539229b50b_11_55.jpg,kongaskristjan,11,55,11-55,train
real_data/train/a7a6930d68ac_04_53.jpg,kongaskristjan,4,53,4-55,test
real_data/train/b1c3a3b2ba8c_11_29.jpg,kongaskristjan,11,29,11-30,test
real_data/train/b8cdaf4b9290_09_45.jpg,kongaskristjan,9,45,9-45,train
real_data/train/bdda1f042266_11_02.jpg,kongaskristjan,11,2,11-00,train
real_data/train/c163076fa506_11_15.jpg,kongaskristjan,11,15,11-15,train
real_data/train/c1a1492bf5a1_09_07.jpg,kongaskristjan,9,7,9-05,train
real_data/train/c3071aa201ba_04_41.jpg,kongaskristjan,4,41,4-40,train
real_data/train/cac90e8a3278_06_22.jpg,kongaskristjan,6,22,6-20,train
real_data/train/cb1f67e276a7_10_34.jpg,kongaskristjan,10,34,10-35,train
real_data/train/ccb343e71e1d_09_19.jpg,kongaskristjan,9,19,9-20,train
real_data/train/d3c0ff579e4d_10_00.jpg,kongaskristjan,10,0,10-00,test
real_data/train/d693d00b9d34_10_12.jpg,kongaskristjan,10,12,10-10,train
real_data/train/e0af0bd12c5c_00_34.jpg,kongaskristjan,0,34,12-35,train
real_data/train/e3621b28c444_10_43.jpg,kongaskristjan,10,43,10-45,train
real_data/train/e52c4f9d0e0c_11_35.jpg,kongaskristjan,11,35,11-35,test
real_data/train/e6f55745922e_10_06.jpg,kongaskristjan,10,6,10-05,train
real_data/train/f2d517a7a8a6_11_07.jpg,kongaskristjan,11,7,11-05,test
real_data/train/f9c5ae0d76dc_09_59.jpg,kongaskristjan,9,59,10-00,train
real_data/val/06a4cac20026_05_47.jpg,kongaskristjan,5,47,5-45,train
real_data/val/0cba716176e1_06_05.jpg,kongaskristjan,6,5,6-05,train
real_data/val/10de8316700d_11_01.jpg,kongaskristjan,11,1,11-00,train
real_data/val/1e22b969b12c_01_52.jpg,kongaskristjan,1,52,1-50,test
real_data/val/22df031ac485_10_55.jpg,kongaskristjan,10,55,10-55,train
real_data/val/2e2785f8f55b_11_54.jpg,kongaskristjan,11,54,11-55,train
real_data/val/2fe6f699a449_10_08.jpg,kongaskristjan,10,8,10-10,test
real_data/val/33f33ba9aff0_06_19.jpg,kongaskristjan,6,19,6-20,train
real_data/val/4faa1ff29521_07_00.jpg,kongaskristjan,7,0,7-00,test
real_data/val/602b5ae5705a_09_43.jpg,kongaskristjan,9,43,9-45,test
real_data/val/7243798ebf09_05_54.jpg,kongaskristjan,5,54,5-55,test
real_data/val/77d9cc4b3b2b_10_10.jpg,kongaskristjan,10,10,10-10,test
real_data/val/78b13f1839c2_01_03.jpg,kongaskristjan,1,3,1-05,test
real_data/val/79a4bc60326b_09_00.jpg,kongaskristjan,9,0,9-00,train
real_data/val/7f42f8745052_00_55.jpg,kongaskristjan,0,55,12-55,train
real_data/val/9663ea434db0_10_46.jpg,kongaskristjan,10,46,10-45,train
real_data/val/97d6dd20adc5_02_56.jpg,kongaskristjan,2,56,2-55,train
real_data/val/9f127361cc53_02_50.jpg,kongaskristjan,2,50,2-50,train
real_data/val/ab808229d9f0_10_08.jpg,kongaskristjan,10,8,10-10,train
real_data/val/beb820eb9d58_07_12.jpg,kongaskristjan,7,12,7-10,train
real_data/val/c025cea56028_00_03.jpg,kongaskristjan,0,3,12-05,test
real_data/val/c784938e76f2_07_12.jpg,kongaskristjan,7,12,7-10,train
real_data/val/cca630ed1b3f_03_02.jpg,kongaskristjan,3,2,3-00,test
real_data/val/d4e52c7152ab_04_34.jpg,kongaskristjan,4,34,4-35,train
real_data/val/d7c55037d9e8_00_59.jpg,kongaskristjan,0,59,1-00,train
real_data/val/d9ce5ec9f025_02_32.jpg,kongaskristjan,2,32,2-30,train
real_data/val/e034c4518d6c_11_16.jpg,kongaskristjan,11,16,11-15,train
real_data/val/e091e615998c_06_51.jpg,kongaskristjan,6,51,6-50,train
real_data/val/e69a357e0533_11_38.jpg,kongaskristjan,11,38,11-40,test
real_data/val/ec19fb3a03f2_10_43.jpg,kongaskristjan,10,43,10-45,train
real_data/val/ec32acbeae0a_10_11.jpg,kongaskristjan,10,11,10-10,test
real_data/val/f191e005cc32_08_36.jpg,kongaskristjan,8,36,8-35,train
real_data/val/f2d11c3ba8e1_11_24.jpg,kongaskristjan,11,24,11-25,train
real_data/val/fcb3cf158a6e_00_03.jpg,kongaskristjan,0,3,12-05,train
real_data/vctorsuarezvara/Images/Images/0.jpg,vctorsuarezvara,4,13,4-15,train
real_data/vctorsuarezvara/Images/Images/1.jpg,vctorsuarezvara,0,47,12-45,train
real_data/vctorsuarezvara/Images/Images/10.jpg,vctorsuarezvara,3,12,3-10,train
real_data/vctorsuarezvara/Images/Images/100.jpg,vctorsuarezvara,1,15,1-15,train
real_data/vctorsuarezvara/Images/Images/101.jpg,vctorsuarezvara,1,44,1-45,test
real_data/vctorsuarezvara/Images/Images/102.jpg,vctorsuarezvara,0,1,12-00,train
real_data/vctorsuarezvara/Images/Images/11.jpg,vctorsuarezvara,0,2,12-00,train
real_data/vctorsuarezvara/Images/Images/12.jpg,vctorsuarezvara,2,48,2-50,test
real_data/vctorsuarezvara/Images/Images/13.jpg,vctorsuarezvara,3,53,3-55,train
real_data/vctorsuarezvara/Images/Images/14.jpg,vctorsuarezvara,11,55,11-55,train
real_data/vctorsuarezvara/Images/Images/15.jpg,vctorsuarezvara,1,59,2-00,test
real_data/vctorsuarezvara/Images/Images/16.jpg,vctorsuarezvara,7,37,7-35,train
real_data/vctorsuarezvara/Images/Images/17.jpg,vctorsuarezvara,11,48,11-50,train
real_data/vctorsuarezvara/Images/Images/18.jpg,vctorsuarezvara,3,20,3-20,train
real_data/vctorsuarezvara/Images/Images/19.jpg,vctorsuarezvara,0,3,12-05,train
real_data/vctorsuarezvara/Images/Images/2.jpg,vctorsuarezvara,9,23,9-25,train
real_data/vctorsuarezvara/Images/Images/20.jpg,vctorsuarezvara,2,20,2-20,test
real_data/vctorsuarezvara/Images/Images/21.jpg,vctorsuarezvara,10,11,10-10,test
real_data/vctorsuarezvara/Images/Images/22.jpg,vctorsuarezvara,10,11,10-10,train
real_data/vctorsuarezvara/Images/Images/23.jpg,vctorsuarezvara,9,0,9-00,test
real_data/vctorsuarezvara/Images/Images/24.jpg,vctorsuarezvara,4,47,4-45,train
real_data/vctorsuarezvara/Images/Images/25.jpg,vctorsuarezvara,3,40,3-40,test
real_data/vctorsuarezvara/Images/Images/26.jpg,vctorsuarezvara,8,55,8-55,train
real_data/vctorsuarezvara/Images/Images/27.jpg,vctorsuarezvara,3,0,3-00,train
real_data/vctorsuarezvara/Images/Images/28.jpg,vctorsuarezvara,9,41,9-40,train
real_data/vctorsuarezvara/Images/Images/29.jpg,vctorsuarezvara,1,47,1-45,test
real_data/vctorsuarezvara/Images/Images/3.jpg,vctorsuarezvara,10,11,10-10,train
real_data/vctorsuarezvara/Images/Images/30.jpg,vctorsuarezvara,3,11,3-10,train
real_data/vctorsuarezvara/Images/Images/31.jpg,vctorsuarezvara,3,39,3-40,train
real_data/vctorsuarezvara/Images/Images/32.jpg,vctorsuarezvara,10,0,10-00,test
real_data/vctorsuarezvara/Images/Images/33.jpg,vctorsuarezvara,2,50,2-50,test
real_data/vctorsuarezvara/Images/Images/34.jpg,vctorsuarezvara,8,11,8-10,train
real_data/vctorsuarezvara/Images/Images/35.jpg,vctorsuarezvara,1,26,1-25,train
real_data/vctorsuarezvara/Images/Images/36.jpg,vctorsuarezvara,7,8,7-10,test
real_data/vctorsuarezvara/Images/Images/37.jpg,vctorsuarezvara,2,31,2-30,train
real_data/vctorsuarezvara/Images/Images/38.jpg,vctorsuarezvara,10,10,10-10,train
real_data/vctorsuarezvara/Images/Images/39.jpg,vctorsuarezvara,6,40,6-40,train
real_data/vctorsuarezvara/Images/Images/4.jpg,vctorsuarezvara,2,15,2-15,train
real_data/vctorsuarezvara/Images/Images/40.jpg,vctorsuarezvara,3,0,3-00,test
real_data/vctorsuarezvara/Images/Images/41.jpg,vctorsuarezvara,9,39,9-40,train
real_data/vctorsuarezvara/Images/Images/42.jpg,vctorsuarezvara,3,11,3-10,train
real_data/vctorsuarezvara/Images/Images/43.jpg,vctorsuarezvara,4,13,4-15,test
real_data/vctorsuarezvara/Images/Images/44.jpg,vctorsuarezvara,10,14,10-15,test
real_data/vctorsuarezvara/Images/Images/45.jpg,vctorsuarezvara,1,34,1-35,test
real_data/vctorsuarezvara/Images/Images/46.jpg,vctorsuarezvara,3,40,3-40,test
real_data/vctorsuarezvara/Images/Images/47.jpg,vctorsuarezvara,3,57,3-55,train
real_data/vctorsuarezvara/Images/Images/48.jpg,vctorsuarezvara,7,29,7-30,train
real_data/vctorsuarezvara/Images/Images/49.jpg,vctorsuarezvara,5,21,5-20,train
real_data/vctorsuarezvara/Images/Images/5.jpg,vctorsuarezvara,5,46,5-45,test
real_data/vctorsuarezvara/Images/Images/50.jpg,vctorsuarezvara,5,0,5-00,train
real_data/vctorsuarezvara/Images/Images/51.jpg,vctorsuarezvara,5,0,5-00,train
real_data/vctorsuarezvara/Images/Images/52.jpg,vctorsuarezvara,0,1,12-00,train
real_data/vctorsuarezvara/Images/Images/53.jpg,vctorsuarezvara,4,40,4-40,train
real_data/vctorsuarezvara/Images/Images/54.jpg,vctorsuarezvara,11,45,11-45,train
real_data/vctorsuarezvara/Images/Images/55.jpg,vctorsuarezvara,5,14,5-15,train
real_data/vctorsuarezvara/Images/Images/56.jpg,vctorsuarezvara,5,46,5-45,train
real_data/vctorsuarezvara/Images/Images/57.jpg,vctorsuarezvara,9,14,9-15,train
real_data/vctorsuarezvara/Images/Images/58.jpg,vctorsuarezvara,3,6,3-05,train
real_data/vctorsuarezvara/Images/Images/59.jpg,vctorsuarezvara,2,25,2-25,test
real_data/vctorsuarezvara/Images/Images/6.jpg,vctorsuarezvara,0,28,12-30,train
real_data/vctorsuarezvara/Images/Images/60.jpg,vctorsuarezvara,0,15,12-15,test
real_data/vctorsuarezvara/Images/Images/61.jpg,vctorsuarezvara,1,2,1-00,train
real_data/vctorsuarezvara/Images/Images/62.jpg,vctorsuarezvara,5,44,5-45,train
real_data/vctorsuarezvara/Images/Images/63.jpg,vctorsuarezvara,0,57,12-55,test
real_data/vctorsuarezvara/Images/Images/64.jpg,vctorsuarezvara,5,45,5-45,train
real_data/vctorsuarezvara/Images/Images/65.jpg,vctorsuarezvara,2,18,2-20,train
real_data/vctorsuarezvara/Images/Images/66.jpg,vctorsuarezvara,4,54,4-55,test
real_data/vctorsuarezvara/Images/Images/67.jpg,vctorsuarezvara,4,21,4-20,train
real_data/vctorsuarezvara/Images/Images/68.jpg,vctorsuarezvara,0,36,12-35,test
real_data/vctorsuarezvara/Images/Images/69.jpg,vctorsuarezvara,0,32,12-30,train
real_data/vctorsuarezvara/Images/Images/7.jpg,vctorsuarezvara,11,54,11-55,train
real_data/vctorsuarezvara/Images/Images/70.jpg,vctorsuarezvara,1,30,1-30,train
real_data/vctorsuarezvara/Images/Images/71.jpg,vctorsuarezvara,3,32,3-30,test
real_data/vctorsuarezvara/Images/Images/72.jpg,vctorsuarezvara,0,22,12-20,train
real_data/vctorsuarezvara/Images/Images/73.jpg,vctorsuarezvara,8,57,8-55,train
real_data/vctorsuarezvara/Images/Images/74.jpg,vctorsuarezvara,2,10,2-10,train
real_data/vctorsuarezvara/Images/Images/75.jpg,vctorsuarezvara,1,4,1-05,train
real_data/vctorsuarezvara/Images/Images/76.jpg,vctorsuarezvara,10,9,10-10,train
real_data/vctorsuarezvara/Images/Images/77.jpg,vctorsuarezvara,10,12,10-10,train
real_data/vctorsuarezvara/Images/Images/78.jpg,vctorsuarezvara,7,59,8-00,test
real_data/vctorsuarezvara/Images/Images/79.jpg,vctorsuarezvara,8,50,8-50,test
real_data/vctorsuarezvara/Images/Images/8.jpg,vctorsuarezvara,1,49,1-50,train
real_data/vctorsuarezvara/Images/Images/80.jpg,vctorsuarezvara,3,10,3-10,train
real_data/vctorsuarezvara/Images/Images/81.jpg,vctorsuarezvara,6,29,6-30,test
real_data/vctorsuarezvara/Images/Images/82.jpg,vctorsuarezvara,10,13,10-15,test
real_data/vctorsuarezvara/Images/Images/83.jpg,vctorsuarezvara,0,34,12-35,test
real_data/vctorsuarezvara/Images/Images/84.jpg,vctorsuarezvara,7,17,7-15,test
real_data/vctorsuarezvara/Images/Images/85.jpg,vctorsuarezvara,4,50,4-50,train
real_data/vctorsuarezvara/Images/Images/86.jpg,vctorsuarezvara,6,52,6-50,test
real_data/vctorsuarezvara/Images/Images/87.jpg,vctorsuarezvara,2,40,2-40,train
real_data/vctorsuarezvara/Images/Images/88.jpg,vctorsuarezvara,1,6,1-05,train
real_data/vctorsuarezvara/Images/Images/89.jpg,vctorsuarezvara,4,18,4-20,test
real_data/vctorsuarezvara/Images/Images/9.jpg,vctorsuarezvara,1,37,1-35,train
real_data/vctorsuarezvara/Images/Images/90.jpg,vctorsuarezvara,5,44,5-45,test
real_data/vctorsuarezvara/Images/Images/91.jpg,vctorsuarezvara,0,6,12-05,train
real_data/vctorsuarezvara/Images/Images/92.jpg,vctorsuarezvara,0,0,12-00,train
real_data/vctorsuarezvara/Images/Images/93.jpg,vctorsuarezvara,3,17,3-15,train
real_data/vctorsuarezvara/Images/Images/94.jpg,vctorsuarezvara,7,53,7-55,train
real_data/vctorsuarezvara/Images/Images/95.jpg,vctorsuarezvara,9,30,9-30,test
real_data/vctorsuarezvara/Images/Images/96.jpg,vctorsuarezvara,7,12,7-10,train
real_data/vctorsuarezvara/Images/Images/97.jpg,vctorsuarezvara,6,52,6-50,train
real_data/vctorsuarezvara/Images/Images/98.jpg,vctorsuarezvara,11,55,11-55,train
real_data/vctorsuarezvara/Images/Images/99.jpg,vctorsuarezvara,0,49,12-50,train
